length,generator,test,statistic,p_value,passed,alpha,execution_time,details,error
1000,Biased p(1)=0.70,Runs,0.0,0.0,False,0.01,0.00017109999999931347,"{'n': 1000, 'pi': 0.699, 'reason': 'frequency precondition failed'}",
1000,Biased p(1)=0.70,Longest Run of Ones,93.02221269709035,4.9126092866993845e-20,False,0.01,0.0007961000000022977,"{'block_size': 8, 'n_blocks': 125, 'categories': [1, 2, 3, 4], 'observed': [2.0, 29.0, 32.0, 62.0]}",
1000,Biased p(1)=0.70,Binary Matrix Rank,,,False,0.01,0.0001238999999984003,{},Sequence too short for matrix rank test.
1000,Biased p(1)=0.70,Non-overlap Template,,,False,0.01,0.00011990000000139389,{},Sequence too short for template matching settings.
1000,Biased p(1)=0.70,Maurer Universal,,,False,0.01,0.00010999999999938836,{},"Maurer test requires at least 6,000 bits."
1000,Periodic 0101,Frequency (Monobit),0.0,1.0,True,0.01,0.00017269999999669494,"{'n': 1000, 'ones': 500, 'zeros': 500}",
1000,Periodic 0101,Block Frequency,0.0,1.0,True,0.01,0.00019619999999775928,"{'block_size': 128, 'n_blocks': 7}",
1000,Periodic 0101,Runs,1000.0,1.7958327848009304e-219,False,0.01,0.00018019999999907554,"{'n': 1000, 'pi': 0.5}",
1000,Periodic 0101,Longest Run of Ones,456.93668528864066,1.0239409743882163e-98,False,0.01,0.0011374999999986812,"{'block_size': 8, 'n_blocks': 125, 'categories': [1, 2, 3, 4], 'observed': [125.0, 0.0, 0.0, 0.0]}",
1000,Periodic 0101,Binary Matrix Rank,,,False,0.01,0.0001390999999983933,{},Sequence too short for matrix rank test.
1000,Periodic 0101,Non-overlap Template,,,False,0.01,0.00012630000000157793,{},Sequence too short for template matching settings.
1000,Periodic 0101,Maurer Universal,,,False,0.01,0.00011489999999980682,{},"Maurer test requires at least 6,000 bits."
1000,Block RNG,Frequency (Monobit),5.818590894709818,5.934578552333596e-09,False,0.01,0.00018030000000024415,"{'n': 1000, 'ones': 408, 'zeros': 592}",
1000,Block RNG,Block Frequency,152.0,1.5431491022103078e-29,False,0.01,0.0002043000000000461,"{'block_size': 128, 'n_blocks': 7}",
1000,Block RNG,Runs,0.0,0.0,False,0.01,0.00019040000000103419,"{'n': 1000, 'pi': 0.408, 'reason': 'frequency precondition failed'}",
1000,Block RNG,Longest Run of Ones,189.92385847299818,6.33952692589458e-41,False,0.01,0.0014987000000026285,"{'block_size': 8, 'n_blocks': 125, 'categories': [1, 2, 3, 4], 'observed': [74.0, 0.0, 0.0, 51.0]}",
1000,Block RNG,Binary Matrix Rank,,,False,0.01,0.00019919999999729043,{},Sequence too short for matrix rank test.
1000,Block RNG,Non-overlap Template,,,False,0.01,0.00015370000000203277,{},Sequence too short for template matching settings.
1000,Block RNG,Maurer Universal,,,False,0.01,0.00013470000000026516,{},"Maurer test requires at least 6,000 bits."
1000,Markov p_stay=0.95,Frequency (Monobit),2.5930676813380713,0.009512404872503403,False,0.01,0.0002135999999985927,"{'n': 1000, 'ones': 459, 'zeros': 541}",
1000,Markov p_stay=0.95,Block Frequency,61.84375,6.460284722834313e-11,False,0.01,0.00023889999999937572,"{'block_size': 128, 'n_blocks': 7}",
1000,Markov p_stay=0.95,Runs,59.0,6.888083355838828e-171,False,0.01,0.0002043000000000461,"{'n': 1000, 'pi': 0.459}",
