eve_fraction,qber,tests_run,tests_passed,pass_rate,min_p_value,median_p_value
0.0,0.0,7,7,1.0,0.3109476666960611,0.7231043254658405
0.1,0.025282063320031366,7,7,1.0,0.2966928827639227,0.4744264435719098
0.2,0.05025831143265416,7,7,1.0,0.034970595373007,0.4226894262115207
0.3,0.07489207408075163,7,7,1.0,0.09730674155740922,0.5321599830166801
0.35,0.086920384732855,7,7,1.0,0.06580980201077144,0.39240982954137527
0.4,0.1007547490247204,7,7,1.0,0.2692979370956336,0.6970931984777483
0.5,0.12405518235606235,7,7,1.0,0.04377068703053628,0.48030583327833387
